Player Name,Position,Team,Season,Games Played,Goals Per Team Goals %,Assists Per Team Assists %,Points Per Team Points %,Total Points,Total Team Points,Player Age,Draft Eligibility
"Calvert, Matt",LW,Brandon, 2007-08 Regular Season,71,0.0975609756097561,0.15853658536585366,0.25609756097560976,63.0,246.0,18.231020642198104,False
"King, Sanfred",RW,Brandon, 2007-08 Regular Season,62,0.009433962264150943,0.0330188679245283,0.04245283018867924,9.0,212.0,18.17348609645721,False
"Cowan, Del",LW,Brandon, 2007-08 Regular Season,56,0.04145077720207254,0.03626943005181347,0.07772020725388601,15.0,193.0,18.964664612513197,False
"Glennie, Scott",C,Brandon, 2007-08 Regular Season,60,0.12380952380952381,0.14761904761904762,0.2714285714285714,57.0,210.0,17.06663708054163,False
"Jefferies, Cale",LW,Brandon, 2007-08 Regular Season,68,0.02127659574468085,0.06382978723404255,0.0851063829787234,20.0,235.0,19.19405554854375,False
"Green, Nathan",C,Brandon, 2007-08 Regular Season,68,0.0635593220338983,0.11016949152542373,0.17372881355932204,41.0,236.0,18.680335710691253,False
"Lowry, Matt",C,Brandon, 2007-08 Regular Season,71,0.08943089430894309,0.15040650406504066,0.23983739837398374,59.0,246.0,20.044719272335094,False
"Fehr, Jay",C,Brandon, 2007-08 Regular Season,63,0.07547169811320754,0.13679245283018868,0.21226415094339623,45.0,212.0,19.044719272316133,False
"Clark, Andrew",LW,Brandon, 2007-08 Regular Season,49,0.09090909090909091,0.2215909090909091,0.3125,55.0,176.0,19.94334913809994,False
"Bartek, Daniel",C,Brandon, 2007-08 Regular Season,54,0.11764705882352941,0.0748663101604278,0.1925133689839572,36.0,187.0,19.458267801176326,False
"Louis, Mark",D,Brandon, 2007-08 Regular Season,6,0.0,0.07692307692307693,0.07692307692307693,2.0,26.0,20.477311643835616,False
"Louis, Mark",D,Red Deer, 2007-08 Regular Season,61,0.0423728813559322,0.11864406779661017,0.16101694915254236,19.0,118.0,20.91799258611068,False
"Klassen, Sam",D,Saskatoon, 2007-08 Regular Season,70,0.005813953488372093,0.13372093023255813,0.13953488372093023,24.0,172.0,19.2087417725335,False
"Zahn, Teigan",D,Saskatoon, 2007-08 Regular Season,68,0.023809523809523808,0.08333333333333333,0.10714285714285714,18.0,168.0,18.20052259445134,False
"Patterson, Curtis",D,Saskatoon, 2007-08 Regular Season,4,0.0,0.0,0.0,0.0,7.0,20.35239726027397,False
"Elliott, Stefan",D,Saskatoon, 2007-08 Regular Season,66,0.05454545454545454,0.18787878787878787,0.24242424242424243,40.0,165.0,17.129289717726703,False
"Niemi, Jyri",D,Saskatoon, 2007-08 Regular Season,48,0.11965811965811966,0.1623931623931624,0.28205128205128205,33.0,117.0,17.756686905078478,False
"Hamilton, Curtis",LW,Saskatoon, 2007-08 Regular Season,67,0.07975460122699386,0.0736196319018405,0.15337423312883436,25.0,163.0,16.285453999135967,False
"McCrae, Justin",C,Saskatoon, 2007-08 Regular Season,35,0.14102564102564102,0.16666666666666666,0.3076923076923077,24.0,78.0,19.18885324437487,False
"McCrae, Justin",C,Spokane, 2007-08 Regular Season,30,0.07692307692307693,0.08653846153846154,0.16346153846153846,17.0,104.0,19.38549470907613,False
"Brandis, Robert",RW,Saskatoon, 2007-08 Regular Season,4,0.0,0.0,0.0,0.0,11.0,19.013356164383563,False
"Brandis, Robert",RW,Brandon, 2007-08 Regular Season,24,0.011764705882352941,0.011764705882352941,0.023529411764705882,2.0,85.0,19.281834889764653,False
"Hulak, Derek",LW,Saskatoon, 2007-08 Regular Season,71,0.09302325581395349,0.1686046511627907,0.2616279069767442,45.0,172.0,18.540248621848598,False
"Wintoneak, Walker",RW,Saskatoon, 2007-08 Regular Season,53,0.0743801652892562,0.05785123966942149,0.1322314049586777,16.0,121.0,18.81045476317474,False
"Durand, Chris",C,Saskatoon, 2007-08 Regular Season,61,0.12418300653594772,0.17647058823529413,0.3006535947712418,46.0,153.0,21.156686978012456,False
"Cameron, Dustin",LW,Saskatoon, 2007-08 Regular Season,5,0.1,0.0,0.1,1.0,10.0,18.42859589041096,False
"Cameron, Dustin",LW,Prince Albert, 2007-08 Regular Season,61,0.1,0.1125,0.2125,34.0,160.0,18.888406102021143,False
"Funk, Ryan",D,Saskatoon, 2007-08 Regular Season,67,0.012121212121212121,0.06666666666666667,0.07878787878787878,13.0,165.0,19.011481061957028,False
"Braid, Jordan",LW,Saskatoon, 2007-08 Regular Season,29,0.0,0.01639344262295082,0.01639344262295082,1.0,61.0,18.439212652908203,False
"Belyk, Kirk",RW,Saskatoon, 2007-08 Regular Season,50,0.02631578947368421,0.03508771929824561,0.06140350877192982,7.0,114.0,18.61124972554176,False
"Patterson, Gaelan",C,Saskatoon, 2007-08 Regular Season,51,0.036036036036036036,0.05405405405405406,0.09009009009009009,10.0,111.0,17.447533949950934,False
"Toomey, Travis",C,Saskatoon, 2007-08 Regular Season,71,0.05813953488372093,0.06395348837209303,0.12209302325581395,21.0,172.0,18.000522594451336,False
"Kaye, Michael",RW,Saskatoon, 2007-08 Regular Season,5,0.0,0.1,0.1,1.0,10.0,20.554623287671234,False
"Plouffe, Brett",D,Calgary, 2007-08 Regular Season,4,0.0,0.0625,0.0625,1.0,16.0,18.261301369863013,False
"Plouffe, Brett",D,Tri-City, 2007-08 Regular Season,56,0.015151515151515152,0.045454545454545456,0.06060606060606061,12.0,198.0,18.72434034816773,False
"MacKenzie, Matt",D,Calgary, 2007-08 Regular Season,39,0.015384615384615385,0.046153846153846156,0.06153846153846154,8.0,130.0,16.40754428928169,False
"Frere, Eric",D,Calgary, 2007-08 Regular Season,40,0.013157894736842105,0.039473684210526314,0.05263157894736842,8.0,152.0,19.150095836441796,False
"Frere, Eric",D,Kootenay, 2007-08 Regular Season,29,0.033707865168539325,0.02247191011235955,0.056179775280898875,5.0,89.0,19.339478763397018,False
"Galiardi, T.J.",LW,Calgary, 2007-08 Regular Season,72,0.0703125,0.203125,0.2734375,70.0,256.0,19.905489009083645,False
"Golicic, Bostjan",LW,Calgary, 2007-08 Regular Season,57,0.05687203791469194,0.08530805687203792,0.14218009478672985,30.0,211.0,18.759965245660847,False
"Schaber, Chase",C,Calgary, 2007-08 Regular Season,49,0.018633540372670808,0.006211180124223602,0.024844720496894408,4.0,161.0,17.19721264969761,False
"Sonne, Brett",C,Calgary, 2007-08 Regular Season,29,0.08333333333333333,0.125,0.20833333333333334,20.0,96.0,18.831685964895847,False
"McMillan, Carson",RW,Calgary, 2007-08 Regular Season,72,0.0625,0.1015625,0.1640625,42.0,256.0,19.519187639220632,False
"Kozun, Brandon",C,Calgary, 2007-08 Regular Season,69,0.07630522088353414,0.13654618473895583,0.21285140562248997,53.0,249.0,18.028776680316525,False
"Duval, Ian",C,Calgary, 2007-08 Regular Season,71,0.088,0.112,0.2,50.0,250.0,19.864060209948114,False
"Rowinski, Brendan",C,Calgary, 2007-08 Regular Season,63,0.035398230088495575,0.05309734513274336,0.08849557522123894,20.0,226.0,18.1808129616911,False
"Schultz, Ian",RW,Calgary, 2007-08 Regular Season,67,0.06276150627615062,0.06276150627615062,0.12552301255230125,30.0,239.0,18.116048502087985,False
"Stepan, Martin",LW,Calgary, 2007-08 Regular Season,18,0.05357142857142857,0.017857142857142856,0.07142857142857142,4.0,56.0,17.734506162878585,False
"Kalinski, Devon",C,Calgary, 2007-08 Regular Season,35,0.016666666666666666,0.025,0.041666666666666664,5.0,120.0,18.014068061973077,False
"Kalinski, Devon",C,Kamloops, 2007-08 Regular Season,30,0.03896103896103896,0.03896103896103896,0.07792207792207792,6.0,77.0,18.21151767508318,False
"Ross, Adam",RW,Calgary, 2007-08 Regular Season,5,0.1111111111111111,0.0,0.1111111111111111,2.0,18.0,20.349828767123288,False
"Gillen, Ryan",D,Calgary, 2007-08 Regular Season,54,0.00966183574879227,0.028985507246376812,0.03864734299516908,8.0,207.0,20.882070872250853,False
"Alzner, Karl",D,Calgary, 2007-08 Regular Season,60,0.03431372549019608,0.14215686274509803,0.17647058823529413,36.0,204.0,19.480831474209076,False
"Stone, Michael",D,Calgary, 2007-08 Regular Season,71,0.03937007874015748,0.0984251968503937,0.1377952755905512,35.0,254.0,17.779461611206614,False
"Morin, Cullen",D,Red Deer, 2007-08 Regular Season,57,0.008695652173913044,0.16521739130434782,0.17391304347826086,20.0,115.0,18.720680713082405,False
"Scarborough, Mike",D,Red Deer, 2007-08 Regular Season,59,0.008403361344537815,0.03361344537815126,0.04201680672268908,5.0,119.0,17.92658767146,False
"Egener, Luke",D,Red Deer, 2007-08 Regular Season,63,0.016,0.056,0.072,9.0,125.0,20.10702947913215,False
"Jackson, Dallas",D,Red Deer, 2007-08 Regular Season,41,0.04819277108433735,0.10843373493975904,0.1566265060240964,13.0,83.0,18.758609828696365,False
"Jackson, Dallas",D,Regina, 2007-08 Regular Season,18,0.01639344262295082,0.08196721311475409,0.09836065573770492,6.0,61.0,18.934110312265894,False
"Archer, Colin",D,Red Deer, 2007-08 Regular Season,47,0.011764705882352941,0.03529411764705882,0.047058823529411764,4.0,85.0,18.126211764183196,False
"Polak, Tomas",C,Red Deer, 2007-08 Regular Season,44,0.06329113924050633,0.06329113924050633,0.12658227848101267,10.0,79.0,18.149848814631092,False
"Watt, J.D.",RW,Red Deer, 2007-08 Regular Season,29,0.1111111111111111,0.12698412698412698,0.23809523809523808,15.0,63.0,20.599326066825896,False
"Watt, J.D.",RW,Regina, 2007-08 Regular Season,29,0.06593406593406594,0.17582417582417584,0.24175824175824176,22.0,91.0,20.817021970593764,False
"Fraser, Matt",LW,Red Deer, 2007-08 Regular Season,5,0.0,0.0,0.0,0.0,8.0,17.378253424657537,False
"Fraser, Matt",LW,Kootenay, 2007-08 Regular Season,62,0.04568527918781726,0.050761421319796954,0.09644670050761421,19.0,197.0,17.829889722272306,False
"Wray, Brennen",C,Red Deer, 2007-08 Regular Season,70,0.051470588235294115,0.13970588235294118,0.19117647058823528,26.0,136.0,20.038540531367104,False
"Penny, Tyler",RW,Red Deer, 2007-08 Regular Season,68,0.007462686567164179,0.04477611940298507,0.05223880597014925,7.0,134.0,18.9424919736701,False
"Edwards, Spencer",RW,Red Deer, 2007-08 Regular Season,30,0.046153846153846156,0.015384615384615385,0.06153846153846154,4.0,65.0,17.150481517419017,False
"Coetzee, Willie",RW,Red Deer, 2007-08 Regular Season,23,0.041666666666666664,0.0,0.041666666666666664,2.0,48.0,17.01431619631101,False
"Krgovich, Mike",RW,Red Deer, 2007-08 Regular Season,62,0.03389830508474576,0.025423728813559324,0.059322033898305086,7.0,118.0,18.131690889217914,False
"Mappin, Cass",LW,Red Deer, 2007-08 Regular Season,63,0.04132231404958678,0.09917355371900827,0.14049586776859505,17.0,121.0,17.241280181154252,False
"Draper, Jordan",LW,Red Deer, 2007-08 Regular Season,7,0.1111111111111111,0.0,0.1111111111111111,1.0,9.0,18.430864726027398,False
"Doucet, Scott",RW,Red Deer, 2007-08 Regular Season,40,0.12048192771084337,0.10843373493975904,0.2289156626506024,19.0,83.0,19.86790458889958,False
"Doucet, Scott",RW,Regina, 2007-08 Regular Season,30,0.07526881720430108,0.08602150537634409,0.16129032258064516,15.0,93.0,20.0855151212838,False
"Kot, Joel",D,Red Deer, 2007-08 Regular Season,20,0.06818181818181818,0.1590909090909091,0.22727272727272727,10.0,44.0,17.217267624319415,False
"Betts, Luke",LW,Red Deer, 2007-08 Regular Season,17,0.05128205128205128,0.05128205128205128,0.10256410256410256,4.0,39.0,18.436781833596427,False
"Betts, Luke",LW,Spokane, 2007-08 Regular Season,6,0.041666666666666664,0.0,0.041666666666666664,1.0,24.0,18.595633561643837,False
"Ellington, Taylor",D,Everett, 2007-08 Regular Season,48,0.020833333333333332,0.0763888888888889,0.09722222222222222,14.0,144.0,19.23860745570316,False
"Regier, Jeff",D,Everett, 2007-08 Regular Season,41,0.0,0.01818181818181818,0.01818181818181818,2.0,110.0,17.205484520637313,False
"Harty, Jonathan",D,Everett, 2007-08 Regular Season,65,0.05945945945945946,0.1837837837837838,0.24324324324324326,45.0,185.0,19.941106059932558,False
"Alexander, Mike",D,Everett, 2007-08 Regular Season,58,0.0,0.0375,0.0375,6.0,160.0,19.181897716497637,False
"Potuer, Graham",D,Everett, 2007-08 Regular Season,64,0.016574585635359115,0.06077348066298342,0.07734806629834254,14.0,181.0,20.083864814915934,False
"Campos, Brandon",LW,Everett, 2007-08 Regular Season,2,0.14285714285714285,0.2857142857142857,0.42857142857142855,3.0,7.0,19.801369863013697,False
"Campos, Brandon",LW,Chilliwack, 2007-08 Regular Season,65,0.125,0.24431818181818182,0.3693181818181818,65.0,176.0,20.281232152659435,False
"Harper, Shane",RW,Everett, 2007-08 Regular Season,71,0.08542713567839195,0.1306532663316583,0.21608040201005024,43.0,199.0,19.1277422684078,False
"Beach, Kyle",LW,Everett, 2007-08 Regular Season,60,0.16265060240963855,0.19879518072289157,0.3614457831325301,60.0,166.0,18.167143080862807,False
"Karamnov, Vitaly",C,Everett, 2007-08 Regular Season,61,0.056818181818181816,0.08522727272727272,0.14204545454545456,25.0,176.0,18.6126732824536,False
"Gendur, Dan",RW,Everett, 2007-08 Regular Season,60,0.16477272727272727,0.3125,0.4772727272727273,84.0,176.0,20.826390202056885,False
"Mistelbacher, Jordan",LW,Everett, 2007-08 Regular Season,67,0.053475935828877004,0.053475935828877004,0.10695187165775401,20.0,187.0,18.185274375213574,False
"Ius, Matthew",RW,Everett, 2007-08 Regular Season,66,0.02127659574468085,0.031914893617021274,0.05319148936170213,10.0,188.0,18.20993404922192,False
