Player Name,Position,Team,Season,Games Played,Goals Per Team Goals %,Assists Per Team Assists %,Points Per Team Points %,Total Points,Total Team Points,Player Age
"Laureigh, Bryan",LW,Frontenacs, 2017-18 Regular Season,57,0.015151515,0.015151515,0.03030303,6,198,17.7497726
"Vertiy, Daniil",LW,Attack, 2017-18 Regular Season,9,0,0.04,0.04,1,25,19.15604666
"Gentles, Kyle",D,Rangers, 2017-18 Regular Season,59,0.009478673,0.037914692,0.047393365,10,211,19.80327548
"Di Carlo, Alex",D,Generals, 2017-18 Regular Season,44,0.025316456,0.044303797,0.069620253,11,158,20.93174922
"Blacker, Ian",D,Generals, 2017-18 Regular Season,47,0.005952381,0.029761905,0.035714286,6,168,18.81013089
"Collins, Jacob",D,Firebirds, 2017-18 Regular Season,61,0.023809524,0.023809524,0.047619048,8,168,19.91574878
"Boomhower, Shaw",C,67's, 2017-18 Regular Season,13,0.02,0.02,0.04,2,50,19.36161775
"Walters, Connor",D,Bulldogs, 2017-18 Regular Season,56,0.014634146,0.048780488,0.063414634,13,205,20.78759568
"Lochead, William",D,IceDogs, 2017-18 Regular Season,55,0.02617801,0.020942408,0.047120419,9,191,19.95202187
"Murray, Jake",C,Bulldogs, 2017-18 Regular Season,30,0.00952381,0.019047619,0.028571429,3,105,17.85137843
"Eliot, Mitch",D,Sting, 2017-18 Regular Season,15,0.032786885,0.016393443,0.049180328,3,61,20.11535762
"Svoboda, Matyas",LW,Petes, 2017-18 Regular Season,34,0.017094017,0.017094017,0.034188034,4,117,19.01275088
"Nilsen, Hakon",D,Firebirds, 2017-18 Regular Season,61,0,0.046242775,0.046242775,8,173,20.1174883
"Hill, Mathew",D,Colts, 2017-18 Regular Season,30,0.007462687,0.014925373,0.02238806,3,134,16.86289142
"Collins, Shane",D,Knights, 2017-18 Regular Season,57,0.014705882,0.049019608,0.06372549,13,204,21.07559307
"Wale, Holden",D,Greyhounds, 2017-18 Regular Season,37,0.006060606,0.018181818,0.024242424,4,165,17.6325804
"Gaylor, Cameron",LW,Steelheads, 2017-18 Regular Season,42,0.020547945,0.006849315,0.02739726,4,146,18.27843008
"Cameron, Cole",D,Attack, 2017-18 Regular Season,66,0.003584229,0.035842294,0.039426523,11,279,19.86345528
"Byrne, Mitchell",D,Frontenacs, 2017-18 Regular Season,27,0.010416667,0.03125,0.041666667,4,96,20.04600503
"Shoemaker, Mark",D,Storm, 2017-18 Regular Season,66,0.00456621,0.04109589,0.0456621,10,219,20.47446231
"Allair, Eric",D,Battalion, 2017-18 Regular Season,13,0,0.025,0.025,1,40,18.34711045
"Fallowfield, Tim",D,Knights, 2017-18 Regular Season,43,0.013986014,0.013986014,0.027972028,4,143,19.07273933
"MacArthur, Tyler",D,Colts, 2017-18 Regular Season,5,0,0.04,0.04,1,25,20.38167808
"Coome, Riley",D,Knights, 2017-18 Regular Season,60,0,0.024875622,0.024875622,5,201,18.69991814
"Hogue, Alexandre",D,Sting, 2017-18 Regular Season,29,0,0.017857143,0.017857143,2,112,17.06836576
